Date,compound,subjectivity,Open,High,Low,Close,Adj Close,Volume
03-01-2017,0.5574,0.391666667,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0.42962963,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0.4767,1,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0.6,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0.5,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0.4215,0.15,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,-0.5859,0.25,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0.244444444,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0.1779,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,1,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,-0.743,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0.0625,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0.125,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0.333333333,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0.4404,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0.3818,0.5,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0.8705,0.796296296,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0.4404,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0.1779,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0.3612,0.4,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0.35,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0.4939,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,-0.1027,0.5,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0.3612,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0.2023,0.5,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0.55,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0.166666667,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0.4019,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0.7096,0.744047619,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,-0.4019,0,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0.361111111,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,-0.5859,0.5,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
03-01-2017,0,0.5,37.89599991,37.93799973,37.38499832,37.68349838,37.68349838,70422000
04-01-2017,-0.8225,0,37.91949844,37.98400116,37.70999908,37.85900116,37.85900116,50210000
04-01-2017,0,0,37.91949844,37.98400116,37.70999908,37.85900116,37.85900116,50210000
05-01-2017,0.4019,0,38.07749939,39.11999893,38.01300049,39.02249908,39.02249908,116602000
05-01-2017,0.7096,0.227272727,38.07749939,39.11999893,38.01300049,39.02249908,39.02249908,116602000
